1	686
2	250
3	305
4	981
5	619
6	43
7	181
8	167
9	789
10	199
11	166
12	773
13	549
14	544
15	628
16	686
17	919
18	812
19	198
20	801
21	686
22	56
23	78
24	419
25	286
26	811
27	298
28	620
29	233
30	475
31	66
32	610
33	809
34	721
35	278
36	868
37	827
38	366
39	843
40	162
41	246
42	873
43	774
44	565
45	322
46	963
47	684
48	18
49	768
50	914
51	671
52	316
53	300
54	882
55	630
56	544
57	363
58	3
59	721
60	342
61	960
62	113
63	609
64	770
65	250
66	194
67	581
68	994
69	48
70	519
71	116
72	970
73	876
74	684
75	95
76	131
77	753
78	440
79	654
80	21
81	649
82	354
83	772
84	194
85	883
86	581
87	711
88	861
89	995
90	972
91	826
92	821
93	49
94	709
95	120
96	665
97	761
98	471
99	766
100	271
101	16
102	315
103	779
104	391
105	143
106	650
107	101
108	395
109	392
110	498
111	370
112	333
113	446
114	472
115	453
116	970
117	876
118	324
119	553
120	678
121	394
122	709
123	499
124	322
125	457
126	710
127	345
128	347
129	703
130	871
131	618
132	943
133	696
134	244
135	457
136	468
137	19
138	611
139	620
140	29
141	68
142	306
143	214
144	468
145	739
146	88
147	889
148	561
149	353
150	473
151	823
152	870
153	354
154	573
155	492
156	453
157	201
158	279
159	527
160	764
161	996
162	2
163	593
164	653
165	592
166	426
167	292
168	97
169	180
170	297
171	210
172	37
173	71
174	213
175	653
176	995
177	292
178	211
179	706
180	6
181	56
182	81
183	790
184	167
185	675
186	328
187	223
188	561
189	545
190	789
191	550
192	532
193	762
194	358
195	180
196	397
197	446
198	770
199	54
200	797
201	612
202	172
203	251
204	563
205	642
206	451
207	513
208	423
209	873
210	13
211	918
212	299
213	995
214	727
215	581
216	205
217	566
218	444
219	586
220	667
221	656
222	321
223	657
224	545
225	412
226	550
227	14
228	648
229	519
230	467
231	843
232	824
233	72
